SRA,Region,Zipcode,ZCTA,Total (55 to 64),Under .50 (55 to 64),.50 to .74 (55 to 64),.75 to .99 (55 to 64),1.00 to 1.24 (55 to 64),1.25 to 1.49 (55 to 64),1.50 to 1.74 (55 to 64),1.75 to 1.84 (55 to 64),1.85 to 1.99 (55 to 64),2.00 to 2.99 (55 to 64),3.00 to 3.99 (55 to 64),4.00 to 4.99 (55 to 64),5.00 and over (55 to 64),Total (65 to 74),Under .50 (65 to 74),.50 to .74 (65 to 74),.75 to .99 (65 to 74),1.00 to 1.24 (65 to 74),1.25 to 1.49 (65 to 74),1.50 to 1.74 (65 to 74),1.75 to 1.84 (65 to 74),1.85 to 1.99 (65 to 74),2.00 to 2.99 (65 to 74),3.00 to 3.99 (65 to 74),4.00 to 4.99 (65 to 74),5.00 and over (65 to 74),Total (75 and over),Under .50 (75 and over),.50 to .74 (75 and over),.75 to .99 (75 and over),1.00 to 1.24 (75 and over),1.25 to 1.49 (75 and over),1.50 to 1.74 (75 and over),1.75 to 1.84 (75 and over),1.85 to 1.99 (75 and over),2.00 to 2.99 (75 and over),3.00 to 3.99 (75 and over),4.00 to 4.99 (75 and over),5.00 and over (75 and over)
Escondido,North Inland, 92096, 92078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escondido,North Inland,00000,00000,5528,472,129,120,475,208,229,80,137,790,570,364,1954,2483,76,42,134,133,62,138,67,29,488,270,198,846,2158,68,81,112,190,150,104,44,76,369,287,195,482
Alpine,East,91901,91901,2700,74,6,34,41,41,52,107,8,152,279,250,1656,1814,20,9,19,56,83,30,15,0,208,290,251,833,1344,73,0,21,130,34,0,0,83,128,292,166,417
Alpine,East,00000,00000,2700,74,6,34,41,41,52,107,8,152,279,250,1656,1814,20,9,19,56,83,30,15,0,208,290,251,833,1344,73,0,21,130,34,0,0,83,128,292,166,417
North San Diego,North Inland,92091,92091,225,0,0,0,0,0,0,0,0,52,15,0,158,260,0,0,9,21,0,0,0,7,0,40,0,183,234,0,29,0,0,0,13,0,24,52,25,0,91
North San Diego,North Inland, 92127, 92127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North San Diego,North Inland, 92128, 92128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North San Diego,North Inland, 92129, 92129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North San Diego,North Inland,00000,00000,225,0,0,0,0,0,0,0,0,52,15,0,158,260,0,0,9,21,0,0,0,7,0,40,0,183,234,0,29,0,0,0,13,0,24,52,25,0,91
San Dieguito,North Coastal,92007,92007,1584,16,34,61,39,15,37,0,0,133,115,78,1056,1065,55,0,34,0,31,15,0,29,89,17,96,699,717,13,0,23,37,82,24,13,10,110,63,43,299
San Dieguito,North Coastal, 92024, 92024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Dieguito,North Coastal, 92067, 92067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Dieguito,North Coastal, 92075, 92075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Dieguito,North Coastal,00000,00000,1584,16,34,61,39,15,37,0,0,133,115,78,1056,1065,55,0,34,0,31,15,0,29,89,17,96,699,717,13,0,23,37,82,24,13,10,110,63,43,299
Lemon Grove,East,91945,91945,3282,120,138,165,220,95,113,59,223,411,422,360,956,1605,48,20,98,46,93,51,29,26,326,296,185,387,1395,85,20,58,74,133,172,0,25,308,258,96,166
Lemon Grove,East,00000,00000,3282,120,138,165,220,95,113,59,223,411,422,360,956,1605,48,20,98,46,93,51,29,26,326,296,185,387,1395,85,20,58,74,133,172,0,25,308,258,96,166
University,North Central,92121,92121,351,0,0,0,0,23,0,11,0,13,13,6,285,137,0,0,0,0,0,7,0,5,0,12,22,91,68,0,0,0,0,6,8,0,7,6,0,12,29
University,North Central, 92122, 92122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University,North Central, 92161, 92161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University,North Central,00000,00000,351,0,0,0,0,23,0,11,0,13,13,6,285,137,0,0,0,0,0,7,0,5,0,12,22,91,68,0,0,0,0,6,8,0,7,6,0,12,29
Southeastern San Diego,Central,92113,92113,3431,347,262,474,255,248,127,97,153,718,374,165,211,1986,223,184,285,185,155,117,45,54,425,193,51,69,1672,59,116,253,170,164,137,34,99,275,208,78,79
Southeastern San Diego,Central, 92114, 92114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southeastern San Diego,Central, 92139, 92139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southeastern San Diego,Central,00000,00000,3431,347,262,474,255,248,127,97,153,718,374,165,211,1986,223,184,285,185,155,117,45,54,425,193,51,69,1672,59,116,253,170,164,137,34,99,275,208,78,79
Coronado,South ,92118,92118,3078,99,16,84,41,117,47,52,66,211,242,137,1966,2125,34,12,14,6,26,37,6,46,214,149,212,1369,2056,36,0,48,36,64,29,19,94,356,213,100,1061
Coronado,South , 92135, 92135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
