SRA,Region,Zipcode,ZCTA,NumRCFE,NumRCFEBeds,NumRCFEInALWP,2012Pop65Over,2012Pop55Over,2030Pop65Over,2030Pop55Over,2012PopADOD55Over,2030PopADOD55Over,2012PopLowIncome55Over,2012PopLowIncome65Over,2012PopMinority,2012ADODPerRCFE,2030ADODPerRCFE,2012PercentLowIncome65Over,2012PercentLowIncome55Over,2012LowIncome65OverPerRCFE,2012LowIncome55OverADODRatio,PopMinorityPerRCFE,PopMinorityADODRatio,2012MedianHHIncome,2012MedianHHIncome65Over
North San Diego,North Inland,00000,00000,27,1680.0,0,14128,27382,26388,42128,2180,3376,94,94,41771,80.74,125.04,0.67,0.34,3.48,0.04,1547.07,19.16,107273,108875
San Dieguito,North Coastal,92007,92007,2,350.0,0,0,0,0,0,0,0,470,264,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92734,59500
San Dieguito,North Coastal, 92024, 92024,19,635.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
San Dieguito,North Coastal, 92067, 92067,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
San Dieguito,North Coastal, 92075, 92075,4,148.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
San Dieguito,North Coastal,00000,00000,25,1133.0,0,14596,29078,25115,41195,1518,2207,470,264,18988,60.72,88.28,1.81,1.62,10.56,0.31,759.52,12.51,92734,59500
Lemon Grove,East,91945,91945,14,712.0,0,0,0,0,0,0,0,1809,921,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50092,39730
Lemon Grove,East,00000,00000,14,712.0,0,3530,7041,5808,9810,1094,1517,1809,921,19670,78.14,108.36,26.09,25.69,65.79,1.65,1405.0,17.98,50092,39730
University,North Central,92121,92121,0,0.0,0,0,0,0,0,0,0,86,58,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96413,52625
University,North Central, 92122, 92122,17,873.0,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
